,Initial Rule Trees
863,"G[?,?]((->SBP <= ?HR <= ?) | (O2Sat >= ? | O2Sat >= ?))"
864,"G[?,?]((|Temp >= ?O2Sat >= ?) | Potassium <= ?)"
865,"G[?,?]((|O2Sat >= ?HR <= ?) | Bilirubin_direct <= ?)"
866,"G[?,?]((->SBP <= ?Temp <= ?) | Resp >= ?)"
867,"G[?,?](FiO2 <= ? -> (Temp >= ? & Temp >= ?))"
868,"G[?,?](Temp >= ? | Platelets >= ?)"
869,"(Creatinine <= ?) U[?,?] (MAP >= ?)"
870,"G[?,?](Magnesium >= ? | PTT >= ?)"
871,"G[?,?]((->SBP <= ?HR <= ?) | (SBP <= ? | Temp <= ?))"
872,"G[?,?]((|O2Sat >= ?Temp <= ?) | Alkalinephos <= ?)"
873,"G[?,?](BUN >= ? | (HR >= ? | SBP <= ?))"
874,"G[?,?](TroponinI >= ? | (Temp <= ? -> Temp <= ?))"
875,"G[?,?](Bilirubin_total >= ? -> (HR >= ? & O2Sat >= ?))"
876,"G[?,?]((|SBP >= ?Temp <= ?) | (Temp >= ? -> HR <= ?))"
877,"G[?,?]((&Temp <= ?HR <= ?) | (AST >= ? -> Temp <= ?))"
878,"G[?,?]((|Temp <= ?HR <= ?) | (Platelets <= ? -> Temp >= ?))"
879,"G[?,?]((|pH <= ?Temp >= ?) | (O2Sat >= ? | O2Sat >= ?))"
880,"G[?,?](AST >= ? | HR <= ?)"
881,"G[?,?]((|HR <= ?O2Sat >= ?) | (Platelets <= ? -> O2Sat >= ?))"
882,"G[?,?]((->Hgb >= ?Temp <= ?) | (Temp >= ? -> O2Sat <= ?))"
883,"G[?,?](pH <= ? | BUN >= ?)"
884,"G[?,?]((->Lactate <= ?O2Sat <= ?) | (O2Sat >= ? -> O2Sat >= ?))"
885,"G[?,?]((|Temp <= ?HR >= ?) | (HR >= ? -> SBP <= ?))"
886,"G[?,?](Platelets >= ? -> BaseExcess >= ?)"
887,"G[?,?]((->Lactate <= ?SBP <= ?) | (AST >= ? -> Temp <= ?))"
888,"G[?,?](PaCO2 <= ? | (Lactate <= ? & Temp <= ?))"
889,"G[?,?]((->O2Sat >= ?O2Sat <= ?) | Phosphate >= ?)"
890,"G[?,?]((|Temp <= ?SBP <= ?) | (SBP <= ? -> HR <= ?))"
891,"G[?,?]((->Temp >= ?MAP <= ?) | Resp <= ?)"
892,"G[?,?]((->HR <= ?HR >= ?) | Calcium <= ?)"
893,"G[?,?](Phosphate >= ? -> Bilirubin_direct >= ?)"
894,"G[?,?](Alkalinephos >= ? | (Temp <= ? -> Temp <= ?))"
895,"G[?,?]((->Hgb >= ?HR <= ?) | (Temp >= ? -> Temp >= ?))"
896,"(Lactate >= ?) U[?,?] (O2Sat >= ?)"
897,"G[?,?](Platelets >= ? | Potassium >= ?)"
898,"G[?,?]((|HR <= ?SBP >= ?) | (Lactate <= ? & Temp <= ?))"
899,"G[?,?]((|Temp <= ?MAP >= ?) | (Platelets <= ? -> Temp >= ?))"
900,"G[?,?](BUN <= ? | SaO2 <= ?)"
901,"G[?,?](Chloride >= ? | Fibrinogen >= ?)"
902,"G[?,?](Calcium >= ? -> (HR >= ? & O2Sat <= ?))"
903,"G[?,?]((|pH <= ?Temp >= ?) | (O2Sat <= ? -> HR <= ?))"
904,"(SBP <= ?) U[?,?] (Glucose >= ?)"
905,"G[?,?](Calcium >= ? | (AST >= ? -> Temp <= ?))"
906,"G[?,?]((&SBP <= ?Temp <= ?) | (SBP <= ? -> O2Sat <= ?))"
907,"G[?,?]((->Temp >= ?SBP <= ?) | WBC <= ?)"
908,"G[?,?]((->SBP <= ?HR <= ?) | (HR <= ? -> SBP >= ?))"
909,"G[?,?]((|SBP >= ?Temp >= ?) | SBP <= ?)"
910,"G[?,?]((->O2Sat <= ?Temp >= ?) | Chloride >= ?)"
911,"G[?,?]((->Temp <= ?MAP <= ?) | Hct <= ?)"
912,"G[?,?](DBP <= ? -> BaseExcess >= ?)"
913,"G[?,?](SepsisLabel >= ? | (O2Sat >= ? -> O2Sat >= ?))"
914,"G[?,?]((->Hgb >= ?Temp >= ?) | (AST >= ? -> O2Sat <= ?))"
915,"G[?,?](DBP <= ? -> O2Sat <= ?)"
916,"G[?,?](AST >= ? -> (Temp >= ? & Temp >= ?))"
917,"G[?,?]((->O2Sat >= ?Temp <= ?) | Hct <= ?)"
918,"G[?,?]((|SBP <= ?Temp >= ?) | (SBP <= ? | HR <= ?))"
919,"G[?,?](BUN >= ? | Chloride <= ?)"
920,"G[?,?]((->Hgb >= ?O2Sat <= ?) | SepsisLabel <= ?)"
921,"G[?,?]((->SBP <= ?SBP <= ?) | (HR <= ? -> MAP <= ?))"
922,"G[?,?]((|SBP <= ?Temp >= ?) | (MAP <= ? | TroponinI >= ?))"
923,"G[?,?]((|pH <= ?SBP <= ?) | (Platelets <= ? -> MAP <= ?))"
924,"G[?,?]((&Temp <= ?O2Sat <= ?) | (O2Sat <= ? -> O2Sat <= ?))"
925,"G[?,?]((->Temp >= ?HR <= ?) | (O2Sat <= ? & Temp <= ?))"
926,"G[?,?]((|Temp >= ?O2Sat >= ?) | SepsisLabel <= ?)"
927,"G[?,?](EtCO2 <= ? | (O2Sat >= ? -> SBP <= ?))"
928,"G[?,?]((|SBP >= ?WBC <= ?) | (SBP <= ? -> SBP >= ?))"
929,"G[?,?](SBP <= ? | Glucose <= ?)"
930,"G[?,?]((->Lactate <= ?O2Sat <= ?) | HCO3 <= ?)"
931,"G[?,?]((&O2Sat <= ?HR <= ?) | (O2Sat >= ? -> SBP <= ?))"
932,"G[?,?](pH >= ? -> HCO3 >= ?)"
933,"G[?,?]((|SBP >= ?O2Sat >= ?) | O2Sat >= ?)"
934,"G[?,?](Potassium >= ? | (HR >= ? -> Temp >= ?))"
935,"G[?,?]((->O2Sat <= ?MAP <= ?) | HR <= ?)"
936,"G[?,?]((|Temp >= ?Temp >= ?) | (SBP >= ? -> Temp >= ?))"
937,"G[?,?](SepsisLabel >= ? -> PTT <= ?)"
938,"G[?,?](DBP <= ? | (SBP <= ? -> SBP >= ?))"
939,"G[?,?]((->SBP <= ?MAP <= ?) | (Temp <= ? & Temp <= ?))"
940,"G[?,?](Resp >= ? | (AST >= ? -> HR <= ?))"
941,"G[?,?]((|HR <= ?Temp <= ?) | TroponinI >= ?)"
942,"G[?,?]((->O2Sat >= ?O2Sat <= ?) | Calcium <= ?)"
943,"G[?,?]((|pH <= ?O2Sat >= ?) | Bilirubin_total <= ?)"
944,"G[?,?]((&SBP <= ?HR <= ?) | DBP <= ?)"
945,"G[?,?]((->HR <= ?HR <= ?) | (HR >= ? -> O2Sat <= ?))"
946,"G[?,?](WBC <= ? | (SBP <= ? -> MAP <= ?))"
947,"G[?,?]((->O2Sat >= ?MAP <= ?) | (Temp >= ? -> Temp <= ?))"
948,"G[?,?]((->Temp >= ?Temp >= ?) | Bilirubin_direct <= ?)"
949,"G[?,?](Chloride <= ? | Platelets >= ?)"
950,"(AST >= ?) U[?,?] (HCO3 >= ?)"
951,"G[?,?]((|O2Sat >= ?Temp <= ?) | (MAP <= ? | Temp >= ?))"
952,"G[?,?]((->Temp >= ?Temp <= ?) | (O2Sat >= ? & O2Sat <= ?))"
953,"G[?,?](PaCO2 >= ? -> Platelets >= ?)"
954,"G[?,?]((->O2Sat <= ?Temp >= ?) | Chloride <= ?)"
955,"G[?,?]((|Temp <= ?O2Sat >= ?) | Temp >= ?)"
956,"G[?,?]((->O2Sat >= ?Temp >= ?) | (SBP >= ? -> Temp <= ?))"
957,"G[?,?](SepsisLabel <= ? -> TroponinI >= ?)"
958,"G[?,?]((&Temp >= ?O2Sat >= ?) -> Phosphate <= ?)"
959,"G[?,?]((|SBP >= ?WBC <= ?) | Alkalinephos <= ?)"
960,"G[?,?]((|pH <= ?SBP <= ?) | Chloride >= ?)"
961,"G[?,?]((|Temp >= ?Temp <= ?) | (O2Sat >= ? | TroponinI >= ?))"
962,"G[?,?](FiO2 <= ? | (O2Sat >= ? -> Temp >= ?))"
963,"G[?,?]((&O2Sat >= ?Temp <= ?) | (SBP <= ? -> SBP >= ?))"
964,"G[?,?]((|SBP <= ?Temp >= ?) | HR >= ?)"
965,"G[?,?]((&O2Sat <= ?HR >= ?) -> DBP >= ?)"
966,"G[?,?]((|Temp >= ?HR >= ?) | HCO3 <= ?)"
967,"G[?,?]((->SBP <= ?HR >= ?) | (HR <= ? | Temp <= ?))"
968,"G[?,?](Hgb >= ? -> (O2Sat >= ? & O2Sat <= ?))"
969,"G[?,?]((->Hgb >= ?SBP <= ?) | pH >= ?)"
970,"G[?,?]((->O2Sat <= ?HR <= ?) | (Temp >= ? -> SBP <= ?))"
971,"G[?,?](AST <= ? | (Temp <= ? -> HR <= ?))"
972,"G[?,?]((|SBP >= ?WBC <= ?) | MAP <= ?)"
973,"G[?,?]((|pH <= ?Temp <= ?) | (O2Sat >= ? | Temp >= ?))"
974,"G[?,?]((->O2Sat >= ?Temp <= ?) | (O2Sat <= ? -> Temp >= ?))"
975,"G[?,?]((->Hgb >= ?Temp <= ?) | (Temp >= ? -> MAP <= ?))"
976,"G[?,?](SaO2 <= ? -> EtCO2 >= ?)"
977,"G[?,?](SaO2 <= ? -> Phosphate >= ?)"
978,"G[?,?](AST <= ? -> (Temp >= ? & O2Sat <= ?))"
979,"G[?,?](WBC >= ? | (SBP <= ? | Temp >= ?))"
980,"G[?,?](Bilirubin_total >= ? | (Temp >= ? -> O2Sat >= ?))"
981,"G[?,?]((|SBP >= ?SBP <= ?) | MAP <= ?)"
982,"G[?,?]((&Temp <= ?Temp <= ?) | Glucose <= ?)"
983,"G[?,?](Alkalinephos >= ? | (Temp >= ? -> SBP <= ?))"
984,"G[?,?](HR <= ? | (O2Sat <= ? & Temp >= ?))"
985,"G[?,?]((|SBP >= ?SBP >= ?) | TroponinI >= ?)"
986,"G[?,?](Chloride <= ? -> (HR >= ? & O2Sat >= ?))"
987,"G[?,?](BaseExcess <= ? -> (O2Sat <= ? & HR >= ?))"
988,"G[?,?]((&O2Sat <= ?HR <= ?) | (O2Sat >= ? -> Temp >= ?))"
989,"G[?,?]((->Hgb >= ?Temp <= ?) | Platelets >= ?)"
990,"G[?,?](Fibrinogen <= ? | (Platelets <= ? -> O2Sat >= ?))"
991,"G[?,?]((->Hgb >= ?HR <= ?) | (HR >= ? | Temp >= ?))"
992,"G[?,?]((|HR <= ?WBC <= ?) | (AST >= ? -> Temp >= ?))"
993,"G[?,?]((|Temp <= ?HR >= ?) | (HR <= ? | HR >= ?))"
994,"G[?,?](Creatinine <= ? -> (Temp >= ? & SBP >= ?))"
995,"G[?,?]((->Temp >= ?Temp <= ?) | BaseExcess >= ?)"
996,"F[?,?](Lactate >= ? & SBP <= ?)"
997,"G[?,?](pH >= ? | (Platelets <= ? -> Temp >= ?))"
998,"G[?,?]((|Temp >= ?O2Sat >= ?) | (SBP <= ? | HR >= ?))"
999,"G[?,?]((|Temp >= ?HR <= ?) | Platelets >= ?)"
1000,"G[?,?]((->SBP <= ?MAP <= ?) | EtCO2 >= ?)"
1001,"G[?,?](SBP >= ? -> (Temp >= ? & SBP >= ?))"
1002,"G[?,?](TroponinI >= ? -> (HR >= ? & Temp >= ?))"
1003,"G[?,?]((->O2Sat <= ?HR >= ?) | Hct <= ?)"
1004,"G[?,?](HR >= ? -> BaseExcess <= ?)"
1005,"G[?,?](Creatinine <= ? -> Hct >= ?)"
1006,"G[?,?]((|pH <= ?HR <= ?) | Fibrinogen >= ?)"
1007,"G[?,?]((|pH <= ?WBC <= ?) | (HR <= ? | Temp >= ?))"
1008,"G[?,?]((->Temp <= ?SBP >= ?) | Platelets <= ?)"
1009,"G[?,?]((&SBP <= ?HR <= ?) | BUN <= ?)"
1010,"G[?,?](Bilirubin_direct >= ? | Hgb <= ?)"
1011,"G[?,?]((|SBP <= ?SBP >= ?) | HR <= ?)"
1012,"G[?,?]((->O2Sat <= ?MAP <= ?) | (HR >= ? | O2Sat >= ?))"
1013,"G[?,?](Potassium <= ? -> Resp <= ?)"
1014,"G[?,?](FiO2 <= ? | (HR >= ? | Temp >= ?))"
1015,"G[?,?]((->O2Sat <= ?HR >= ?) | (Temp >= ? -> O2Sat >= ?))"
1016,"G[?,?](Hct >= ? | (O2Sat >= ? | Temp >= ?))"
1017,"G[?,?]((|Temp <= ?MAP >= ?) | (HR <= ? & Temp <= ?))"
1018,"G[?,?](Hct <= ? | (SBP <= ? | O2Sat >= ?))"
1019,"G[?,?](HR >= ? | (Platelets <= ? -> Temp <= ?))"
1020,"G[?,?](Phosphate <= ? -> WBC >= ?)"
1021,"G[?,?](SBP <= ? | (O2Sat >= ? & Temp <= ?))"
1022,"G[?,?](WBC >= ? -> Magnesium <= ?)"
1023,"G[?,?](Bilirubin_total <= ? | Magnesium >= ?)"
1024,"G[?,?]((->Lactate <= ?MAP <= ?) | (O2Sat >= ? -> Temp >= ?))"
1025,"G[?,?]((->HR <= ?SBP <= ?) | (AST >= ? -> HR <= ?))"
1026,"G[?,?]((|pH <= ?Temp >= ?) | Fibrinogen >= ?)"
1027,"G[?,?]((->Hgb >= ?Temp >= ?) | (Temp >= ? -> Temp <= ?))"
1028,"G[?,?]((|SBP <= ?Temp <= ?) | (HR >= ? -> Temp <= ?))"
1029,"G[?,?]((|O2Sat >= ?Temp <= ?) | (Temp <= ? & Temp >= ?))"
1030,"G[?,?]((|Temp >= ?O2Sat >= ?) | (HR <= ? | SBP <= ?))"
1031,"G[?,?](HCO3 <= ? | (MAP <= ? | Temp <= ?))"
1032,"G[?,?](O2Sat >= ? -> HR <= ?)"
1033,"G[?,?]((&Potassium >= ?O2Sat >= ?) -> (O2Sat >= ? & SBP >= ?))"
1034,"G[?,?](Lactate <= ? | (HR >= ? -> SBP >= ?))"
1035,"G[?,?]((|Temp <= ?WBC <= ?) | (Platelets <= ? -> O2Sat >= ?))"
1036,"G[?,?]((->Temp >= ?Temp >= ?) | (MAP <= ? | Temp >= ?))"
1037,"G[?,?]((->Hgb >= ?Temp <= ?) | (HR >= ? -> SBP <= ?))"
1038,"G[?,?]((->O2Sat <= ?O2Sat <= ?) | DBP <= ?)"
1039,"G[?,?]((->HR <= ?SBP <= ?) | (SBP >= ? -> O2Sat >= ?))"
1040,"G[?,?](Hgb >= ? -> PTT >= ?)"
1041,"G[?,?]((|Temp <= ?O2Sat >= ?) | (O2Sat >= ? | Temp >= ?))"
1042,"G[?,?]((|pH <= ?WBC <= ?) | (O2Sat >= ? & Temp >= ?))"
1043,"G[?,?](WBC >= ? | (HR <= ? -> HR <= ?))"
1044,"G[?,?](SBP <= ? | PTT >= ?)"
1045,"G[?,?](TroponinI >= ? | EtCO2 <= ?)"
1046,"G[?,?](Glucose <= ? -> FiO2 >= ?)"
1047,"G[?,?]((->Hgb >= ?SBP <= ?) | (HR <= ? -> O2Sat >= ?))"
1048,"G[?,?]((->HR <= ?Temp <= ?) | (O2Sat >= ? & Temp <= ?))"
1049,"G[?,?](Hgb >= ? | (Platelets <= ? -> O2Sat <= ?))"
1050,"G[?,?]((->HR <= ?MAP <= ?) | SBP >= ?)"
1051,"G[?,?](BUN >= ? -> HCO3 <= ?)"
1052,"G[?,?](Bilirubin_direct <= ? | AST <= ?)"
1053,"G[?,?](BUN <= ? | (Temp <= ? & O2Sat <= ?))"
1054,"G[?,?]((|SBP <= ?SBP <= ?) | (SBP <= ? -> SBP >= ?))"
1055,"G[?,?](HR >= ? | (O2Sat >= ? | O2Sat >= ?))"
1056,"G[?,?]((|HR <= ?Temp <= ?) | (SBP <= ? -> Temp <= ?))"
1057,"G[?,?]((->HR <= ?HR <= ?) | (Platelets <= ? -> SBP <= ?))"
1058,"G[?,?]((->Temp >= ?MAP <= ?) | EtCO2 <= ?)"
1059,"G[?,?](WBC <= ? -> WBC <= ?)"
1060,"G[?,?]((|pH <= ?HR <= ?) | (Temp <= ? -> SBP <= ?))"
1061,"G[?,?]((->Temp <= ?SBP >= ?) | Hct >= ?)"
1062,"G[?,?]((|SBP >= ?MAP >= ?) | (MAP <= ? | O2Sat >= ?))"
1063,"G[?,?](Resp <= ? & pH <= ?)"
1064,"(WBC >= ?) U[?,?] (Potassium >= ?)"
1065,"G[?,?]((|pH <= ?O2Sat >= ?) | (AST >= ? -> O2Sat <= ?))"
1066,"(SBP >= ?) U[?,?] (HCO3 <= ?)"
1067,"G[?,?](SaO2 >= ? -> (HR >= ? & Temp >= ?))"
1068,"G[?,?]((|O2Sat >= ?HR >= ?) | (O2Sat >= ? -> MAP <= ?))"
1069,"G[?,?](Phosphate >= ? -> PTT <= ?)"
1070,"G[?,?]((&O2Sat <= ?O2Sat <= ?) -> SepsisLabel >= ?)"
1071,"G[?,?](SepsisLabel >= ? | (HR >= ? -> Temp >= ?))"
1072,"F[?,?](SaO2 >= ? & O2Sat <= ?)"
1073,"G[?,?]((->HR <= ?Temp <= ?) | Chloride <= ?)"
1074,"F[?,?](MAP <= ? & pH <= ?)"
1075,"G[?,?]((|SBP >= ?HR >= ?) | Fibrinogen <= ?)"
1076,"G[?,?](Alkalinephos <= ? | SepsisLabel >= ?)"
1077,"G[?,?]((->O2Sat >= ?SBP >= ?) | (O2Sat >= ? -> HR <= ?))"
1078,"G[?,?]((->Hgb >= ?SBP >= ?) | Potassium >= ?)"
1079,"G[?,?](Fibrinogen <= ? | (Temp >= ? -> SBP >= ?))"
1080,"G[?,?]((->SBP <= ?MAP <= ?) | (Temp >= ? -> O2Sat <= ?))"
1081,"F[?,?](SaO2 >= ? & Phosphate >= ?)"
1082,"G[?,?](BaseExcess <= ? | BaseExcess <= ?)"
1083,"G[?,?](Temp <= ? -> (HR >= ? & Temp >= ?))"
1084,"G[?,?]((->Temp >= ?Temp <= ?) | Platelets >= ?)"
1085,"G[?,?]((|Temp >= ?WBC <= ?) | (HR <= ? -> SBP <= ?))"
1086,"G[?,?]((->Temp <= ?HR >= ?) | (SBP >= ? -> Temp >= ?))"
1087,"G[?,?]((->HR <= ?SBP >= ?) | WBC <= ?)"
1088,"G[?,?](EtCO2 >= ? | (HR <= ? -> SBP >= ?))"
1089,"G[?,?]((&Lactate <= ?HR <= ?) | (Temp >= ? -> HR <= ?))"
1090,"G[?,?](HR <= ? | SepsisLabel >= ?)"
1091,"G[?,?](pH >= ? -> Bilirubin_total >= ?)"
1092,"G[?,?]((|O2Sat >= ?O2Sat >= ?) | SBP >= ?)"
1093,"G[?,?]((->Hgb >= ?SBP >= ?) | (SBP <= ? -> MAP <= ?))"
1094,"G[?,?]((|pH <= ?Temp <= ?) | SBP <= ?)"
1095,"G[?,?]((|SBP >= ?MAP >= ?) | (Lactate <= ? & O2Sat <= ?))"
1096,"G[?,?]((->O2Sat >= ?Temp >= ?) | (Temp >= ? -> HR <= ?))"
1097,"G[?,?]((|O2Sat >= ?HR >= ?) | Magnesium >= ?)"
1098,"G[?,?]((->Lactate <= ?HR >= ?) | (SBP >= ? -> MAP <= ?))"
1099,"G[?,?](TroponinI >= ? | Hct >= ?)"
1100,"(Hgb >= ?) U[?,?] (Fibrinogen >= ?)"
1101,"G[?,?]((|pH <= ?HR <= ?) | (O2Sat >= ? -> Temp <= ?))"
1102,"G[?,?](Chloride <= ? | Calcium <= ?)"
1103,"G[?,?]((|pH <= ?O2Sat >= ?) | Resp <= ?)"
1104,"G[?,?]((|SBP >= ?HR <= ?) | (SBP <= ? | Temp <= ?))"
1105,"G[?,?]((|Temp <= ?HR >= ?) | (SBP <= ? -> MAP <= ?))"
1106,"G[?,?]((->Lactate <= ?Temp <= ?) | (Temp <= ? -> MAP <= ?))"
1107,"G[?,?](MAP <= ? | SBP >= ?)"
1108,"G[?,?]((->O2Sat <= ?Temp <= ?) | (SBP <= ? -> O2Sat >= ?))"
1109,"G[?,?](pH <= ? -> EtCO2 <= ?)"
1110,"G[?,?]((&Potassium >= ?Temp >= ?) -> Creatinine >= ?)"
1111,"G[?,?]((->HR <= ?O2Sat <= ?) | (MAP <= ? | HR >= ?))"
1112,"G[?,?](Temp <= ? | (AST >= ? -> O2Sat >= ?))"
1113,"G[?,?](pH <= ? | Glucose <= ?)"
1114,"G[?,?]((&Temp >= ?O2Sat >= ?) -> Potassium <= ?)"
1115,"G[?,?]((->Temp <= ?HR >= ?) | AST <= ?)"
1116,"G[?,?](O2Sat >= ? -> pH >= ?)"
1117,"G[?,?]((&Potassium >= ?O2Sat >= ?) -> AST <= ?)"
1118,"G[?,?](DBP >= ? | (HR >= ? -> SBP >= ?))"
1119,"G[?,?](Magnesium >= ? | (Platelets <= ? -> SBP <= ?))"
1120,"G[?,?]((|O2Sat >= ?SBP >= ?) | Chloride >= ?)"
1121,"G[?,?](DBP <= ? -> (O2Sat >= ? -> O2Sat >= ?))"
1122,"G[?,?](Hct >= ? | (SBP <= ? | HR <= ?))"
1123,"G[?,?]((->Temp <= ?O2Sat <= ?) | (MAP <= ? | O2Sat >= ?))"
1124,"G[?,?](SaO2 <= ? | (O2Sat >= ? | HR <= ?))"
1125,"G[?,?](Resp <= ? | (HR >= ? | Temp <= ?))"
1126,"G[?,?](HCO3 <= ? | EtCO2 >= ?)"
1127,"G[?,?](Alkalinephos <= ? | (Temp <= ? -> SBP >= ?))"
1128,"G[?,?]((&Lactate <= ?HR <= ?) | (O2Sat <= ? -> O2Sat <= ?))"
1129,"G[?,?]((->Lactate <= ?MAP <= ?) | (O2Sat >= ? | SBP <= ?))"
1130,"G[?,?]((|O2Sat >= ?WBC <= ?) | (MAP <= ? | O2Sat >= ?))"
1131,"G[?,?]((|Temp >= ?HR <= ?) | (O2Sat >= ? -> O2Sat <= ?))"
1132,"G[?,?]((&Potassium >= ?O2Sat >= ?) -> PTT >= ?)"
1133,"G[?,?]((&Temp <= ?O2Sat <= ?) | (HR <= ? | SBP <= ?))"
1134,"G[?,?](AST <= ? | Alkalinephos <= ?)"
1135,"G[?,?]((&SBP <= ?Temp <= ?) | (HR <= ? -> O2Sat <= ?))"
1136,"G[?,?]((|Temp <= ?O2Sat >= ?) | Calcium <= ?)"
1137,"G[?,?](Hct >= ? -> Lactate <= ?)"
1138,"G[?,?](pH >= ? | pH <= ?)"
1139,"G[?,?]((->Lactate <= ?SBP >= ?) | Fibrinogen <= ?)"
1140,"G[?,?](BaseExcess <= ? | (SBP <= ? -> Temp >= ?))"
1141,"G[?,?]((->Temp >= ?Temp <= ?) | (HR <= ? | HR <= ?))"
1142,"G[?,?]((|SBP <= ?MAP >= ?) | (HR <= ? & O2Sat <= ?))"
1143,"G[?,?](Creatinine <= ? | Alkalinephos <= ?)"
1144,"G[?,?](Glucose <= ? | (AST >= ? -> MAP <= ?))"
1145,"G[?,?]((|SBP >= ?Temp >= ?) | (Temp >= ? -> O2Sat >= ?))"
1146,"G[?,?]((->Lactate <= ?SBP <= ?) | (O2Sat >= ? -> O2Sat >= ?))"
1147,"G[?,?]((->HR <= ?HR <= ?) | (O2Sat >= ? -> SBP >= ?))"
1148,"G[?,?]((->O2Sat <= ?MAP <= ?) | (Platelets <= ? -> O2Sat >= ?))"
1149,"G[?,?](Resp >= ? | (HR <= ? & Temp <= ?))"
1150,"G[?,?]((->O2Sat <= ?SBP >= ?) | BaseExcess >= ?)"
1151,"G[?,?]((|Temp >= ?WBC <= ?) | (O2Sat <= ? & O2Sat <= ?))"
1152,"G[?,?]((&Potassium >= ?Temp >= ?) -> (Temp >= ? & HR >= ?))"
1153,"F[?,?](Lactate >= ? & O2Sat <= ?)"
1154,"G[?,?]((->HR <= ?SBP <= ?) | (O2Sat <= ? -> SBP <= ?))"
1155,"G[?,?](PTT >= ? -> O2Sat >= ?)"
1156,"(BUN <= ?) U[?,?] (WBC >= ?)"
1157,"F[?,?](DBP <= ? & Bilirubin_total >= ?)"
1158,"G[?,?]((|Temp <= ?HR <= ?) | (O2Sat >= ? -> SBP >= ?))"
1159,"G[?,?]((&Lactate <= ?O2Sat <= ?) | (HR <= ? -> O2Sat >= ?))"
1160,"G[?,?]((&O2Sat >= ?O2Sat <= ?) | (SBP >= ? -> MAP <= ?))"
1161,"G[?,?]((|O2Sat >= ?WBC <= ?) | (O2Sat >= ? & Temp <= ?))"
1162,"G[?,?]((|Temp >= ?SBP <= ?) | O2Sat >= ?)"
1163,"G[?,?](Alkalinephos >= ? | (O2Sat >= ? | SBP <= ?))"
1164,"G[?,?](DBP >= ? | (HR <= ? -> SBP >= ?))"
1165,"F[?,?](DBP >= ? & FiO2 <= ?)"
1166,"G[?,?]((&Potassium >= ?O2Sat >= ?) -> SepsisLabel >= ?)"
1167,"G[?,?](Platelets <= ? | MAP >= ?)"
1168,"G[?,?]((|O2Sat >= ?SBP <= ?) | Fibrinogen >= ?)"
1169,"(BUN <= ?) U[?,?] (PTT >= ?)"
1170,"G[?,?]((|Temp >= ?SBP >= ?) | (SBP >= ? -> SBP <= ?))"
1171,"G[?,?]((->SBP <= ?MAP <= ?) | (Temp <= ? -> MAP <= ?))"
1172,"G[?,?](PTT >= ? -> Alkalinephos >= ?)"
1173,"G[?,?](Platelets >= ? | Glucose <= ?)"
1174,"G[?,?]((|O2Sat >= ?Temp >= ?) | (HR <= ? | TroponinI >= ?))"
1175,"G[?,?]((&O2Sat >= ?Temp <= ?) | (Temp >= ? -> Temp >= ?))"
1176,"G[?,?]((|HR <= ?O2Sat >= ?) | (Platelets <= ? -> SBP <= ?))"
1177,"G[?,?]((|Temp <= ?HR <= ?) | (Platelets <= ? -> O2Sat >= ?))"
1178,"G[?,?](Resp <= ? -> (HR >= ? & Temp >= ?))"
1179,"G[?,?](Glucose <= ? -> (O2Sat >= ? & HR >= ?))"
1180,"G[?,?](Bilirubin_total <= ? | (SBP <= ? -> MAP <= ?))"
1181,"G[?,?]((->Lactate <= ?HR >= ?) | (Temp >= ? -> Temp <= ?))"
1182,"G[?,?]((|Temp >= ?WBC <= ?) | (HR >= ? | HR <= ?))"
1183,"G[?,?]((->HR <= ?O2Sat <= ?) | Potassium <= ?)"
1184,"G[?,?](Magnesium >= ? | SaO2 >= ?)"
1185,"G[?,?]((->Temp >= ?HR <= ?) | Phosphate >= ?)"
1186,"F[?,?](SaO2 >= ? & Hct >= ?)"
1187,"G[?,?]((->O2Sat <= ?O2Sat <= ?) | pH <= ?)"
1188,"G[?,?]((->SBP <= ?Temp <= ?) | Resp <= ?)"
1189,"G[?,?]((|pH <= ?SBP >= ?) | Bilirubin_total <= ?)"
1190,"G[?,?]((|Temp >= ?MAP >= ?) | (HR <= ? | Temp >= ?))"
1191,"G[?,?](Temp >= ? | (Platelets <= ? -> MAP <= ?))"
1192,"(Resp >= ?) U[?,?] (Chloride >= ?)"
1193,"G[?,?]((&SBP <= ?O2Sat <= ?) | (Temp <= ? -> MAP <= ?))"
1194,"G[?,?]((->Hgb >= ?MAP <= ?) | (SBP <= ? | Temp <= ?))"
1195,"G[?,?]((|O2Sat >= ?SBP >= ?) | Creatinine <= ?)"
1196,"G[?,?]((|HR <= ?O2Sat >= ?) | (Temp >= ? -> SBP <= ?))"
1197,"G[?,?](Lactate >= ? -> HR >= ?)"
1198,"G[?,?]((|Temp <= ?HR <= ?) | (O2Sat >= ? -> Temp <= ?))"
1199,"G[?,?]((|SBP >= ?HR <= ?) | (HR <= ? -> O2Sat >= ?))"
1200,"G[?,?](BaseExcess >= ? | (SBP <= ? -> O2Sat <= ?))"
1201,"G[?,?]((->Hgb >= ?Temp <= ?) | (AST >= ? -> Temp <= ?))"
1202,"G[?,?](BaseExcess <= ? | (Temp >= ? -> SBP >= ?))"
1203,"G[?,?]((->SBP <= ?MAP <= ?) | Potassium <= ?)"
1204,"G[?,?]((&Temp >= ?O2Sat >= ?) -> SBP >= ?)"
1205,"G[?,?]((->Temp <= ?SBP <= ?) | Glucose >= ?)"
