G[2,2](SMBGperDayPtMeterCombo >= 0.560 & BGTestAvgNumPtRep >= 5.096202945997774e-05) [Discrimination Score: -0.560; Robustness + : -0.560; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((diabDur <= 31.828 -> HeightCm >= 165.706) & BldPrDia <= 165.859) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((diabDur >= 31.463) U[1,1] (UnitsInsBasalOrLongAct <= 9.747)) [Discrimination Score: 9.747; Robustness + : 9.747; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2]((HDL >= 34.363 | LDL >= 50.832) & TotChol <= 87.538) [Discrimination Score: -34.363; Robustness + : -34.363; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](((bmi >= 19.396 -> Triglyc <= 177.454) | TotalDailyInsPerKg <= 154.583) -> Triglyc <= 146.422) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](((bmiZscore <= -0.757 -> Triglyc <= 129.557) & HbA1cImputeDtMnC >= 55.681) & bmiPerc <= 170.296) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((diabDur <= 31.980) U[0,0] (HbA1c <= 8.414)) [Discrimination Score: 8.414; Robustness + : 8.414; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](((AlbCreatRat_mggNew <= 77.619 | LDL <= 63.228) -> diabDur >= 41.856) | HbA1cImputeDtMnC >= 28.602) [Discrimination Score: -28.602; Robustness + : -28.602; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](((BldPrDia >= 81.022 & LDL <= 94.236) -> diagAgeCombo <= 68.506) -> bmiZscore <= 91.054) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](((HbA1cImputeDtMnC >= 11.552 & HeightCm <= 165.948) & Pt_SHFlg <= 165.847) -> Pt_DKAFlg >= 165.647) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](HbA1cImputeDtMnC >= 9.994 & UnitsInsBasalOrLongAct <= 8.099) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1cImputeDtMnC >= 10.852 | TotChol >= 1.349) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((BUN <= 6.914 & LDL <= 78.533) | DirectLDL <= 94.476) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
((age >= 43.670) U[1,2] (TotChol <= 153.426)) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](age >= 44.193 -> TSH >= 0.148) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
((age >= 43.799) U[2,2] (GFR >= 0.996)) [Discrimination Score: -0.996; Robustness + : -0.996; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((age <= 45.869 & HeightCm <= 165.742) | Pt_DKAFlg <= 165.762) -> Pt_SiblingT1D <= 165.888) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((BldPrSys <= 144.310 -> bmiZscore >= -0.820) -> Pt_InsGov <= -0.760) -> Pt_A1cGoalLev <= -0.743) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](((BldPrSys >= 139.147 | bmi <= 20.369) & Pt_ChildT1D >= 19.484) -> Pt_A1cGoalLev >= 19.550) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Pt_InsGov >= 0.079 -> Triglyc <= 152.032) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((bmiZscore <= -0.734) U[2,2] (HDL >= 42.720)) [Discrimination Score: -0.734; Robustness + : -0.734; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](bmi <= 20.284 | HDL >= 13.608) [Discrimination Score: 20.284; Robustness + : 20.284; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 0.499 | TotalDailyInsPerKg >= 0.267) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](((LDL <= 98.171 & Triglyc <= 121.474) | bmi <= 189.322) & Pt_SHFlg >= 5.514) [Discrimination Score: 7.498; Robustness + : 7.498; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((bmiZscore >= -0.812 & BUN >= 0.714) -> BGTestAvgNumPtRep <= 6.593) | Pt_FatherT1D >= 0.313) [Discrimination Score: -0.313; Robustness + : -0.313; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((bmi >= 19.680 & BUN <= 7.266) -> Pt_GrandchildT1D <= 7.070) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((BGTestAvgNumPtRep <= 1.846 & BldPrDia >= 82.688) -> Pt_A1cGoalLev >= 82.621) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((BldPrDia <= 84.710 -> Pt_InsGov <= 0.600) | BldPrDia >= 0.304) | bmiZscore <= 0.647) [Discrimination Score: 0.647; Robustness + : 0.647; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((BldPrSys >= 134.529 & WeightKg >= 53.242) & TotChol <= 54.757) -> Pt_InsGov <= 54.959) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((AlbCreatRat_mggNew >= 70.930 & Pt_InsGov >= 0.264) | DirectLDL <= 0.487) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](AlbCreatRat_mggNew <= 98.801 | BGTestAvgNumPtRep <= 2.299) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](((LDL <= 84.261 & TotalDailyInsPerKg <= 0.441) & HbA1cImputeDtMnC <= 0.510) & HbA1c >= 0.138) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((HDL <= 82.140 & WeightKg <= 55.315) & WeightKg <= 54.977) [Discrimination Score: 54.977; Robustness + : 54.977; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((BUN >= 3.750 -> WeightKg <= 55.659) | DirectLDL <= 54.945) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((GFR <= 39.442 | HbA1c <= 8.461) & AlbCreatRat_mggNew <= 8.230) & TotChol >= 7.986) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((HbA1c <= 8.356 | TotChol >= 1.258) -> bmiPerc >= 53.727) & TotalDailyInsPerKg >= 60.646) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((SMBGperDayPtMeterCombo <= 1.446) U[0,1] (TotChol >= 35.906)) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](((BUN >= 4.459 | SMBGperDayPtMeterCombo >= 0.544) | GFR <= 1.982) | bmi >= 0.371) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((HbA1c <= 8.352 & Pt_InsGov <= 0.836) & DirectLDL >= 0.278) [Discrimination Score: -0.278; Robustness + : -0.278; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](BGTestAvgNumPtRep >= 0.918 -> HbA1c >= 7.938) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((AlbCreatRat_mggNew >= 36.294 | BldPrSys <= 145.971) | Pt_InsGov >= 141.415) [Discrimination Score: 145.971; Robustness + : 145.971; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((BGTestAvgNumPtRep >= 0.513 & WeightKg <= 55.566) & bmiZscore >= 53.324) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((Pt_InsGov >= 0.161 & WeightKg >= 54.491) -> HDL >= 54.255) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((BldPrDia >= 81.676 & BldPrSys >= 132.065) | Pt_ChildT1D >= 138.258) [Discrimination Score: -132.065; Robustness + : -132.065; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((bmiZscore <= -0.739 | TotalDailyInsPerKg <= 0.507) | TSH >= 0.122) -> BGTestAvgNumPtRep <= 0.544) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((bmi <= 20.068 -> TotalDailyInsPerKg >= 0.372) & bmi >= 0.346) -> bmi <= 0.618) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BGTestAvgNumMeter <= 1.338 | HDL >= 17.442) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](AlbCreatRat_mggNew >= 23.407 & HDL >= 61.567) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BldPrDia <= 85.868 -> HDL >= 61.131) [Discrimination Score: -85.868; Robustness + : -85.868; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BGTestAvgNumMeter <= 1.331 -> BldPrSys >= 135.163) [Discrimination Score: -1.331; Robustness + : -1.331; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((AlbCreatRat_mggNew >= 39.221 | BUN >= 3.507) -> Pt_CGMUseNumDays <= 7.705) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((BldPrDia <= 86.059 | BUN <= 8.692) | bmiZscore <= 8.872) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((BldPrSys >= 132.055 -> Triglyc <= 177.577) & WeightKg <= 101.383) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((bmi <= 19.909 -> Pt_InsGov <= 0.396) -> HDL <= 0.565) -> WeightKg >= 0.216) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](((BGTestAvgNumPtRep >= 0.827 | bmi >= 19.793) | TotalDailyInsPerKg >= 19.589) | bmiZscore >= 19.674) [Discrimination Score: -0.827; Robustness + : -0.827; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((bmiZscore >= -0.808 & Pt_InsGov >= 0.276) & Pt_FatherT1D >= 0.253) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](((HDL <= 82.913 -> Triglyc >= 50.846) -> AutonomicNeuroCl >= 8.995) & Pt_GrandchildT1D <= 181.630) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((TotalDailyInsPerKg >= 0.047 -> WeightKg <= 55.267) & Pt_FatherT1D <= 55.938) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BUN >= 4.342) U[0,1] (Triglyc >= 33.097)) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](((age >= 44.167 | Pt_InsGov >= 0.052) -> bmi >= 0.305) -> UnitsInsBasalOrLongAct <= 0.721) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((LDL <= 78.915) U[0,2] (Pt_InsGov >= 0.107)) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BGTestAvgNumPtRep >= 0.036 & LDL >= 54.788) [Discrimination Score: -54.788; Robustness + : -54.788; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((AlbCreatRat_mggNew <= 107.216 -> TotalDailyInsPerKg >= 0.200) & BldPrDia >= 0.287) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((BGTestAvgNumPtRep <= 2.859 -> HbA1cImputeDtMnC >= 11.522) & Pt_A1cGoalLevelDsYr5 >= 6.516) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1cImputeDtMnC >= 12.004 -> Pt_InsGov <= 0.873) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((BldPrDia <= 86.627 | TotalDailyInsPerKg <= 0.581) & TotalDailyInsPerKg <= 0.438) [Discrimination Score: 0.438; Robustness + : 0.438; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](((BGTestAvgNumMeter >= 0.692 & diabDur >= 31.302) | diagAgeCombo <= 33.691) | UnitsInsBasalOrLongAct <= 32.174) [Discrimination Score: 33.691; Robustness + : 33.691; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((BGTestAvgNumPtRep <= 1.644 | diabDur >= 30.554) -> AlbCreatRat_mggNew >= 30.275) & age <= 32.551) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((HbA1cImputeDtMnC <= 25.305 -> SMBGperDayPtMeterCombo <= 1.917) & HbA1c >= 0.808) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((LDL <= 66.556 & SMBGperDayPtMeterCombo <= 1.875) | BUN <= 1.413) [Discrimination Score: 1.875; Robustness + : 1.875; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](((TotalDailyInsPerKg <= 0.467 -> Triglyc <= 103.859) | NumPumpBolusOrShortAct >= 10.421) | DirectLDL <= 116.924) [Discrimination Score: 116.924; Robustness + : 116.924; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](age <= 45.303 & SMBGperDayPtMeterCombo >= 0.915) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((HbA1c >= 8.168 | Triglyc >= 35.570) | Pt_A1cGoalLev >= 66.646) -> Pt_GrandchildT1D >= 38.176) [Discrimination Score: 8.168; Robustness + : 8.168; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](HeightCm >= 165.625 & TotalDailyInsPerKg >= 0.040) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((GFR >= 23.935 | TotalDailyInsPerKg <= 0.507) & diabDur <= 0.412) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](((BGTestAvgNumMeter <= 1.120 & bmiZscore >= -0.821) | UnitsInsBasalOrLongAct <= -0.741) | DirectLDL <= -0.736) [Discrimination Score: 0.821; Robustness + : 0.821; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((bmi <= 20.028 & SMBGperDayPtMeterCombo <= 1.961) & HeightCm <= 1.766) [Discrimination Score: 1.766; Robustness + : 1.766; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
((BldPrDia >= 80.279) U[1,1] (HbA1c >= 7.985)) [Discrimination Score: -7.985; Robustness + : -7.985; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
((AlbCreatRat_mggNew <= 93.382) U[1,2] (HbA1c >= 8.013)) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BldPrSys <= 144.272 & Pt_InsGov <= 0.361) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](((BGTestAvgNumPtRep <= 1.035 -> BldPrSys <= 147.242) -> Pt_GrandparentT1D >= 130.036) | HDL >= 133.542) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](HDL >= 39.788 -> Pt_InsGov >= 0.246) [Discrimination Score: 0.246; Robustness + : 0.246; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((BGTestAvgNumMeter >= 0.981 & WeightKg <= 54.553) | BldPrSys >= 53.498) | Pt_ChildT1D <= 55.062) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((BGTestAvgNumMeter <= 1.357 -> HbA1c <= 8.334) -> BldPrSys <= 8.290) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((BGTestAvgNumPtRep >= 0.302 | NumPumpBolusOrShortAct >= 0.063) | SMBGperDayPtMeterCombo <= 1.195) | HbA1c >= 0.404) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](((BUN <= 6.824 | Pt_InsGov >= 0.021) | BGTestAvgNumPtRep <= 0.766) -> BUN >= 0.317) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((HbA1c >= 8.084 -> WeightKg >= 54.207) | UnitsInsBasalOrLongAct >= 54.019) | Pt_MotherT1D <= 54.888) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](((age <= 44.462 & Triglyc >= 61.581) | BldPrDia <= 179.911) | UnitsInsBasalOrLongAct <= 144.409) [Discrimination Score: 179.911; Robustness + : 179.911; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((HDL >= 37.956 -> UnitsInsBasalOrLongAct <= 6.422) -> UnitsInsBasalOrLongAct >= 0.383) [Discrimination Score: 0.383; Robustness + : 0.383; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((HDL >= 15.089 | NumPumpBolusOrShortAct >= 0.829) -> BGTestAvgNumMeter >= 0.802) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((GFR <= 37.203 & HDL >= 26.382) | UnitsInsBasalOrLongAct >= 36.094) & Pt_FatherT1D >= 25.131) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((HbA1cImputeDtMnC <= 40.698) U[1,2] (Triglyc >= 90.859)) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((BldPrSys >= 141.989 -> GFR >= 17.395) -> DirectLDL >= 26.208) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((BldPrSys >= 133.353 & TSH >= 0.000) -> HDL >= 0.159) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((BldPrSys <= 147.364 & HeightCm >= 165.683) & bmiPerc >= 165.670) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((AlbCreatRat_mggNew <= 126.889 -> SMBGperDayPtMeterCombo <= 1.424) -> diabDur <= 1.863) | AlbCreatRat_mggNew <= 1.150) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BldPrDia >= 81.541 -> SMBGperDayPtMeterCombo <= 1.406) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((diabDur >= 30.782 | TotalDailyInsPerKg >= 0.287) | diagAgeCombo <= 0.548) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](age >= 43.175 -> BldPrDia >= 82.382) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((age >= 43.820) U[2,2] (AlbCreatRat_mggNew <= 127.245)) [Discrimination Score: 127.245; Robustness + : 127.245; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((bmi <= 20.351 & HbA1c <= 8.290) -> age >= 7.937) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((bmiZscore <= -0.761 & HbA1c >= 7.960) & BUN >= 8.082) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](((diabDur <= 32.792 -> Triglyc <= 146.348) | AutonomicNeuroCl >= 61.478) -> bmiZscore <= 124.481) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BldPrDia >= 80.949 & HbA1cImputeDtMnC <= 29.496) [Discrimination Score: -80.949; Robustness + : -80.949; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](((BGTestAvgNumPtRep <= 2.499 | TotalDailyInsPerKg >= 0.284) & BUN <= 0.600) | BldPrDia >= 0.299) [Discrimination Score: 123.701; Robustness + : 123.701; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((Pt_InsGov <= 0.422 -> TotalDailyInsPerKg <= 0.594) -> BGTestAvgNumPtRep >= 0.217) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](((AlbCreatRat_mggNew <= 83.921 -> HbA1cImputeDtMnC >= 17.301) & WeightKg >= 7.206) -> Pt_SHFlg <= 36.976) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((HbA1cImputeDtMnC >= 10.341 | TotalDailyInsPerKg <= 0.576) | bmi <= 0.463) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((SMBGperDayPtMeterCombo <= 1.296 | Triglyc >= 10.053) -> bmi <= 154.359) -> GFR >= 87.073) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
((age <= 45.108) U[2,2] (TotalDailyInsPerKg <= 0.559)) [Discrimination Score: 45.108; Robustness + : 45.108; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
((BldPrDia <= 86.066) U[0,0] (diabDur <= 32.107)) [Discrimination Score: -11.893; Robustness + : -11.893; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](AlbCreatRat_mggNew >= 24.001 | diabDur <= 32.588) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((age <= 45.148 & WeightKg >= 53.498) | Pt_FatherT1D <= 55.427) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((HbA1c >= 8.081 & LDL <= 69.661) -> Pt_DKAFlg >= 3.750) & Pt_GrandparentT1D <= 62.769) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((HbA1cImputeDtMnC <= 24.033 | WeightKg <= 55.210) -> Pt_A1cGoalLevelDsYr5 >= 54.197) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((BUN <= 6.850 -> diabDur <= 32.473) & bmiZscore <= 33.831) [Discrimination Score: 9999999.000; Robustness + : 9999999.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((diabDur <= 31.670 | HDL <= 96.718) | HeightCm >= 14.435) -> Pt_MotherT1D >= 4.299) [Discrimination Score: -96.718; Robustness + : -96.718; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](((diabDur <= 33.897 & WeightKg >= 53.622) | Pt_MotherT1D <= 55.806) & TotalDailyInsPerKg <= 54.574) [Discrimination Score: -9999999.000; Robustness + : -9999999.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((BUN >= 3.415 -> HbA1cImputeDtMnC >= 16.825) | Pt_CGMUseNumDays <= 34.929) [Discrimination Score: 3.415; Robustness + : 3.415; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
