,Initial Rule Trees
422,"(O2_Flow <= ?) U[?,?] (MET <= ?)"
423,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (O2_Flow >= ?)"
424,"(MET <= ?) U[?,?] (AST_GOT >= ?)"
425,"(Mort >= ?) U[?,?] (LOS >= ?)"
426,"(tte >= ?) U[?,?] (CALCIUM >= ?)"
427,"G[?,?](n_evts >= ? -> n_evts <= ?)"
428,"(tte <= ?) U[?,?] (LOS <= ?)"
429,"(ICU_Pt_Days >= ?) U[?,?] (AST_GOT >= ?)"
430,"(SpO2 >= ?) U[?,?] (SpO2 >= ?)"
431,"(Mort >= ?) U[?,?] (SpO2 <= ?)"
432,"(death <= ?) U[?,?] (CALCIUM >= ?)"
433,"(AST_GOT >= ?) U[?,?] (death <= ?)"
434,"(tte >= ?) U[?,?] (MET >= ?)"
435,"(lds >= ?) U[?,?] (SpO2 >= ?)"
436,"(n_evts >= ?) U[?,?] (LOS >= ?)"
437,"(ALBUMIN >= ?) U[?,?] (tte >= ?)"
438,"(Resp <= ?) U[?,?] (CALCIUM >= ?)"
439,"(SBP >= ?) U[?,?] (O2_Flow >= ?)"
440,"(O2_Flow >= ?) U[?,?] (n_evts >= ?)"
441,"G[?,?](n_evts >= ? -> y >= ?)"
442,"G[?,?](LOS <= ? -> n_evts <= ?)"
443,"(direct <= ?) U[?,?] (LOS <= ?)"
444,"(Mort >= ?) U[?,?] (n_evts <= ?)"
445,"(SBP <= ?) U[?,?] (direct >= ?)"
446,"(death >= ?) U[?,?] (direct >= ?)"
447,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (y >= ?)"
448,"(y <= ?) U[?,?] (SBP >= ?)"
449,"(n_evts <= ?) U[?,?] (death >= ?)"
450,"(ICU_Pt_Days >= ?) U[?,?] (n_evts <= ?)"
451,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (Mort >= ?)"
452,"(lds >= ?) U[?,?] (SBP <= ?)"
453,"G[?,?](tte <= ? -> tte <= ?)"
454,"(Mort >= ?) U[?,?] (n_evts >= ?)"
455,"(AST_GOT >= ?) U[?,?] (Resp <= ?)"
456,"(AST_GOT >= ?) U[?,?] (O2_Flow <= ?)"
457,"(Pulse >= ?) U[?,?] (Resp <= ?)"
458,"(y <= ?) U[?,?] (ICU_Pt_Days <= ?)"
459,"(lds >= ?) U[?,?] (SpO2 <= ?)"
460,"(Resp >= ?) U[?,?] (tte >= ?)"
461,"(tte >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
462,"(ICU_Pt_Days <= ?) U[?,?] (Resp >= ?)"
463,"(Resp >= ?) U[?,?] (Pulse >= ?)"
464,"(n_evts <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
465,"G[?,?](n_evts <= ? -> Mort <= ?)"
466,"(SBP >= ?) U[?,?] (Mort <= ?)"
467,"(Temp >= ?) U[?,?] (death >= ?)"
468,"G[?,?](ICU_Pt_Days <= ? | ICU_Pt_Days <= ?)"
469,"(SpO2 >= ?) U[?,?] (Resp <= ?)"
470,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (Mort <= ?)"
471,"(SpO2 <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
472,"(direct >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
473,"(LOS <= ?) U[?,?] (Resp <= ?)"
474,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (AST_GOT >= ?)"
475,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (Pulse >= ?)"
476,"G[?,?](CHLORIDE <= ? & LOS >= ?)"
477,"(Resp >= ?) U[?,?] (O2_Flow <= ?)"
478,"(CHLORIDE >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
479,"(AST_GOT >= ?) U[?,?] (Temp >= ?)"
480,"(LOS >= ?) U[?,?] (O2_Flow >= ?)"
481,"(ALBUMIN >= ?) U[?,?] (Mort <= ?)"
482,"(SBP <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
483,"(y >= ?) U[?,?] (LOS >= ?)"
484,"(CHLORIDE >= ?) U[?,?] (direct >= ?)"
485,"G[?,?](LOS <= ? -> n_evts >= ?)"
486,"(CHLORIDE >= ?) U[?,?] (Resp <= ?)"
487,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (CALCIUM >= ?)"
488,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
489,"(O2_Flow <= ?) U[?,?] (MET >= ?)"
490,"(ALT_GPT >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
491,"(y <= ?) U[?,?] (Resp >= ?)"
492,"(tte >= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
493,"(Temp >= ?) U[?,?] (Temp >= ?)"
494,"(Pulse <= ?) U[?,?] (Temp <= ?)"
495,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (n_evts <= ?)"
496,"(LOS <= ?) U[?,?] (n_evts <= ?)"
497,"(Temp <= ?) U[?,?] (Pulse >= ?)"
498,"G[?,?](LOS <= ? -> ICU_Pt_Days <= ?)"
499,"(O2_Flow <= ?) U[?,?] (y >= ?)"
500,"(direct <= ?) U[?,?] (ALBUMIN >= ?)"
501,"G[?,?](n_evts <= ? | death >= ?)"
502,"(Mort >= ?) U[?,?] (SBP <= ?)"
503,"(ALT_GPT >= ?) U[?,?] (MET <= ?)"
504,"G[?,?](ICU_Pt_Days <= ? -> ICU_Pt_Days >= ?)"
505,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (Temp >= ?)"
506,"F[?,?](ICU_Pt_Days <= ? & ICU_Pt_Days <= ?)"
507,"(AST_GOT >= ?) U[?,?] (CALCIUM >= ?)"
508,"(direct >= ?) U[?,?] (Mort <= ?)"
509,"(n_evts <= ?) U[?,?] (SpO2 >= ?)"
510,"(CALCIUM >= ?) U[?,?] (ALT_GPT >= ?)"
511,"(ALT_GPT >= ?) U[?,?] (Pulse >= ?)"
512,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (ICU_Pt_Days >= ?)"
513,"(LOS <= ?) U[?,?] (death <= ?)"
514,"(lds >= ?) U[?,?] (O2_Flow >= ?)"
515,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (tte >= ?)"
516,"(ICU_Pt_Days >= ?) U[?,?] (SpO2 <= ?)"
517,"(MET <= ?) U[?,?] (Mort >= ?)"
518,"(CO2 >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
519,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (CALCIUM >= ?)"
520,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (death >= ?)"
521,"(LOS <= ?) U[?,?] (Temp <= ?)"
522,"(Resp <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
523,"G[?,?](LOS <= ? & Mort <= ?)"
524,"(Resp <= ?) U[?,?] (y <= ?)"
525,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (O2_Flow <= ?)"
526,"G[?,?](LOS >= ? -> y >= ?)"
527,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (SpO2 <= ?)"
528,"(MET >= ?) U[?,?] (Temp >= ?)"
529,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
530,"(lds >= ?) U[?,?] (tte >= ?)"
531,"(Temp >= ?) U[?,?] (direct >= ?)"
532,"G[?,?](n_evts <= ? -> LACTIC_ACID >= ?)"
533,"(ICU_Pt_Days >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
534,"(SBP >= ?) U[?,?] (ALT_GPT >= ?)"
535,"(Mort <= ?) U[?,?] (tte <= ?)"
536,"(ICU_Pt_Days <= ?) U[?,?] (Mort <= ?)"
537,"(SBP <= ?) U[?,?] (ALT_GPT >= ?)"
538,"(ALBUMIN >= ?) U[?,?] (death <= ?)"
539,"(lds >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
540,"(direct >= ?) U[?,?] (ALT_GPT >= ?)"
541,"(ICU_Pt_Days <= ?) U[?,?] (MET <= ?)"
542,"(ALBUMIN >= ?) U[?,?] (MET >= ?)"
543,"(ICU_Pt_Days <= ?) U[?,?] (tte <= ?)"
544,"(n_evts >= ?) U[?,?] (SpO2 >= ?)"
545,"(MET <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
546,"(LOS >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
547,"(CHLORIDE >= ?) U[?,?] (death <= ?)"
548,"(Temp <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
549,"(CO2 >= ?) U[?,?] (death >= ?)"
550,"(Resp <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
551,"(n_evts >= ?) U[?,?] (death >= ?)"
552,"G[?,?](Mort <= ? | ICU_Pt_Days >= ?)"
553,"G[?,?](tte <= ? -> n_evts <= ?)"
554,"(O2_Flow <= ?) U[?,?] (O2_Flow <= ?)"
555,"G[?,?](y <= ? -> LOS >= ?)"
556,"(lds >= ?) U[?,?] (Mort <= ?)"
557,"(ALBUMIN >= ?) U[?,?] (Pulse <= ?)"
558,"(Mort <= ?) U[?,?] (SpO2 >= ?)"
559,"(AST_GOT >= ?) U[?,?] (n_evts <= ?)"
560,"(Pulse >= ?) U[?,?] (CHLORIDE >= ?)"
561,"(direct <= ?) U[?,?] (Resp >= ?)"
562,"(tte <= ?) U[?,?] (y <= ?)"
563,"(n_evts <= ?) U[?,?] (Mort <= ?)"
564,"(direct <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
565,"(SBP <= ?) U[?,?] (tte >= ?)"
566,"(lds >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
567,"(SpO2 >= ?) U[?,?] (n_evts >= ?)"
568,"(lds >= ?) U[?,?] (Pulse >= ?)"
569,"(LOS >= ?) U[?,?] (tte >= ?)"
570,"(Pulse >= ?) U[?,?] (AST_GOT >= ?)"
571,"(ICU_Pt_Days >= ?) U[?,?] (O2_Flow >= ?)"
572,"(CHLORIDE >= ?) U[?,?] (SBP >= ?)"
573,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (LOS >= ?)"
574,"(n_evts >= ?) U[?,?] (LOS <= ?)"
575,"(Resp <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
576,"(direct <= ?) U[?,?] (tte >= ?)"
577,"F[?,?](LOS >= ? -> n_edrk >= ?)"
578,"(y >= ?) U[?,?] (ICU_Pt_Days <= ?)"
579,"(death <= ?) U[?,?] (O2_Flow >= ?)"
580,"(Resp <= ?) U[?,?] (direct <= ?)"
581,"(Mort >= ?) U[?,?] (Temp >= ?)"
582,"(ALT_GPT >= ?) U[?,?] (direct <= ?)"
583,"(SpO2 >= ?) U[?,?] (y >= ?)"
584,"(Temp >= ?) U[?,?] (Mort <= ?)"
585,"G[?,?](HEMOGLOBIN >= ? | ICU_Pt_Days >= ?)"
586,"(CHLORIDE >= ?) U[?,?] (SpO2 >= ?)"
587,"(ALBUMIN >= ?) U[?,?] (death >= ?)"
588,"(MET <= ?) U[?,?] (Pulse >= ?)"
589,"(O2_Flow <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
590,"(Mort <= ?) U[?,?] (ALT_GPT >= ?)"
591,"G[?,?](edrk <= ? -> LOS <= ?)"
592,"(lds >= ?) U[?,?] (Resp <= ?)"
593,"(direct <= ?) U[?,?] (ICU_Pt_Days <= ?)"
594,"G[?,?](Mort <= ? | LOS <= ?)"
595,"(CO2 >= ?) U[?,?] (Mort <= ?)"
596,"F[?,?](ICU_Pt_Days <= ? & CREATININE <= ?)"
597,"G[?,?](n_evts <= ? -> LOS >= ?)"
598,"(Temp >= ?) U[?,?] (SpO2 >= ?)"
599,"(Pulse >= ?) U[?,?] (tte >= ?)"
600,"(O2_Flow >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
601,"(Mort >= ?) U[?,?] (SpO2 >= ?)"
602,"(y <= ?) U[?,?] (SpO2 >= ?)"
603,"(SBP <= ?) U[?,?] (ALBUMIN >= ?)"
604,"G[?,?](LOS <= ? | Mort >= ?)"
605,"(LOS >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
606,"G[?,?](PROTIME_INR <= ? | ICU_Pt_Days <= ?)"
607,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (y <= ?)"
608,"(O2_Flow >= ?) U[?,?] (ALT_GPT >= ?)"
609,"(SBP <= ?) U[?,?] (direct <= ?)"
610,"G[?,?](ICU_Pt_Days <= ? | Mort >= ?)"
611,"(LOS >= ?) U[?,?] (Resp >= ?)"
612,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (CALCIUM >= ?)"
613,"(n_evts >= ?) U[?,?] (Pulse <= ?)"
614,"(MET >= ?) U[?,?] (CHLORIDE >= ?)"
615,"G[?,?](ICU_Pt_Days >= ? -> Mort >= ?)"
616,"(death >= ?) U[?,?] (ICU_Pt_Days >= ?)"
617,"F[?,?](LOS >= ? & LOS <= ?)"
618,"F[?,?](LOS >= ? & CREATININE <= ?)"
619,"(y >= ?) U[?,?] (SBP <= ?)"
620,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (ICU_Pt_Days >= ?)"
621,"(Temp <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
622,"G[?,?](Mort <= ? | LOS >= ?)"
623,"F[?,?](edrk >= ? & ICU_Pt_Days >= ?)"
624,"(ICU_Pt_Days <= ?) U[?,?] (AST_GOT >= ?)"
625,"(y >= ?) U[?,?] (ALBUMIN >= ?)"
626,"(O2_Flow >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
627,"F[?,?](ICU_Pt_Days <= ? & ICU_Pt_Days >= ?)"
628,"(MET <= ?) U[?,?] (y >= ?)"
629,"(Temp >= ?) U[?,?] (y >= ?)"
630,"(death <= ?) U[?,?] (LOS <= ?)"
631,"(ICU_Pt_Days >= ?) U[?,?] (tte >= ?)"
632,"(ALT_GPT >= ?) U[?,?] (LOS >= ?)"
633,"(ICU_Pt_Days <= ?) U[?,?] (y <= ?)"
634,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (death >= ?)"
635,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (Resp >= ?)"
636,"G[?,?](ICU_Pt_Days >= ? & ICU_Pt_Days >= ?)"
637,"(CALCIUM >= ?) U[?,?] (Temp >= ?)"
638,"(MET <= ?) U[?,?] (Temp >= ?)"
639,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (n_evts >= ?)"
640,"(SBP <= ?) U[?,?] (MET <= ?)"
641,"(Resp <= ?) U[?,?] (tte <= ?)"
642,"(death <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
643,"(Mort >= ?) U[?,?] (Mort <= ?)"
644,"(Resp >= ?) U[?,?] (SBP >= ?)"
645,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (Mort >= ?)"
646,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (LOS >= ?)"
647,"(MET >= ?) U[?,?] (death <= ?)"
648,"(direct <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
649,"(CALCIUM >= ?) U[?,?] (O2_Flow <= ?)"
650,"(SpO2 <= ?) U[?,?] (ALBUMIN >= ?)"
651,"(SBP <= ?) U[?,?] (SpO2 <= ?)"
652,"(SBP >= ?) U[?,?] (ICU_Pt_Days <= ?)"
653,"(death >= ?) U[?,?] (LOS <= ?)"
654,"G[?,?](ICU_Pt_Days >= ? -> y >= ?)"
655,"G[?,?](LOS >= ? | n_evts <= ?)"
656,"(Pulse <= ?) U[?,?] (ALT_GPT >= ?)"
657,"(Resp >= ?) U[?,?] (Pulse <= ?)"
658,"(MET <= ?) U[?,?] (O2_Flow >= ?)"
659,"(Temp >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
660,"(Pulse <= ?) U[?,?] (n_evts <= ?)"
661,"G[?,?](CHLORIDE <= ? & Mort <= ?)"
662,"(ICU_Pt_Days >= ?) U[?,?] (n_evts >= ?)"
663,"(AST_GOT >= ?) U[?,?] (death >= ?)"
664,"(ALT_GPT >= ?) U[?,?] (SBP <= ?)"
665,"(n_evts <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
666,"(MET <= ?) U[?,?] (death >= ?)"
667,"(ICU_Pt_Days >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
668,"(SpO2 <= ?) U[?,?] (SpO2 <= ?)"
669,"F[?,?](Mort <= ? & LOS <= ?)"
670,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (ALT_GPT >= ?)"
671,"(Mort >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
672,"(tte >= ?) U[?,?] (CHLORIDE >= ?)"
673,"(SpO2 <= ?) U[?,?] (direct <= ?)"
674,"(death >= ?) U[?,?] (ALBUMIN >= ?)"
675,"(O2_Flow >= ?) U[?,?] (CHLORIDE >= ?)"
676,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (O2_Flow >= ?)"
677,"(CALCIUM >= ?) U[?,?] (SBP >= ?)"
678,"(AST_GOT >= ?) U[?,?] (Resp >= ?)"
679,"(ICU_Pt_Days >= ?) U[?,?] (death >= ?)"
680,"(ICU_Pt_Days <= ?) U[?,?] (direct >= ?)"
681,"(SBP <= ?) U[?,?] (Mort >= ?)"
682,"(Temp <= ?) U[?,?] (ALBUMIN >= ?)"
683,"G[?,?](PROTIME_INR <= ? | ICU_Pt_Days >= ?)"
684,"G[?,?](tte <= ? -> LOS >= ?)"
685,"(Resp <= ?) U[?,?] (LOS >= ?)"
686,"G[?,?](LOS <= ? | n_evts <= ?)"
687,"(CALCIUM >= ?) U[?,?] (LOS >= ?)"
688,"(AST_GOT >= ?) U[?,?] (LOS <= ?)"
689,"(CALCIUM >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
690,"(MET <= ?) U[?,?] (Mort <= ?)"
691,"G[?,?](Mort <= ? | Mort >= ?)"
692,"G[?,?](edrk <= ? -> y <= ?)"
693,"(O2_Flow >= ?) U[?,?] (Mort <= ?)"
694,"G[?,?](Mort <= ? & SBP >= ?)"
695,"G[?,?](LOS <= ? -> Mort <= ?)"
696,"(Resp <= ?) U[?,?] (tte >= ?)"
697,"(CO2 >= ?) U[?,?] (AST_GOT >= ?)"
698,"G[?,?](Mort <= ? | n_evts >= ?)"
699,"(MET >= ?) U[?,?] (Mort >= ?)"
700,"G[?,?](n_evts <= ? | ICU_Pt_Days <= ?)"
701,"(O2_Flow <= ?) U[?,?] (SpO2 >= ?)"
702,"(Resp >= ?) U[?,?] (ALT_GPT >= ?)"
703,"(ALT_GPT >= ?) U[?,?] (ICU_Pt_Days >= ?)"
704,"(death <= ?) U[?,?] (Mort >= ?)"
705,"(Mort <= ?) U[?,?] (ICU_Pt_Days >= ?)"
706,"(Pulse >= ?) U[?,?] (LOS >= ?)"
707,"(y <= ?) U[?,?] (O2_Flow <= ?)"
708,"(Pulse <= ?) U[?,?] (MET >= ?)"
709,"(tte <= ?) U[?,?] (death <= ?)"
710,"(CHLORIDE >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
711,"(direct >= ?) U[?,?] (AST_GOT >= ?)"
712,"(ICU_Pt_Days >= ?) U[?,?] (Resp >= ?)"
713,"G[?,?](LOS >= ? -> LACTIC_ACID >= ?)"
714,"(Resp <= ?) U[?,?] (MET >= ?)"
715,"(SBP <= ?) U[?,?] (MET >= ?)"
716,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (y >= ?)"
717,"(tte >= ?) U[?,?] (ALT_GPT >= ?)"
718,"G[?,?](n_evts >= ? -> LACTIC_ACID >= ?)"
719,"F[?,?](Mort <= ? & WHITE_BLOOD_CELL_COUNT >= ?)"
720,"(death >= ?) U[?,?] (tte >= ?)"
721,"(direct <= ?) U[?,?] (Resp <= ?)"
722,"(Pulse >= ?) U[?,?] (Temp >= ?)"
723,"(y >= ?) U[?,?] (MET >= ?)"
724,"F[?,?](LOS <= ? & CREATININE <= ?)"
725,"(direct <= ?) U[?,?] (y <= ?)"
726,"G[?,?](HEMOGLOBIN >= ? | Mort >= ?)"
727,"(Resp >= ?) U[?,?] (direct <= ?)"
728,"(n_evts <= ?) U[?,?] (SBP <= ?)"
729,"F[?,?](Mort <= ? & LOS >= ?)"
730,"(ICU_Pt_Days <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
731,"(ICU_Pt_Days <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
732,"G[?,?](ICU_Pt_Days >= ? -> y <= ?)"
733,"(Resp <= ?) U[?,?] (Mort >= ?)"
734,"(O2_Flow <= ?) U[?,?] (Temp <= ?)"
735,"(n_evts >= ?) U[?,?] (MET <= ?)"
736,"(tte >= ?) U[?,?] (tte <= ?)"
737,"(Resp >= ?) U[?,?] (SpO2 <= ?)"
738,"(CALCIUM >= ?) U[?,?] (death <= ?)"
739,"G[?,?](HEMOGLOBIN >= ? | y <= ?)"
740,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (Resp <= ?)"
741,"(ICU_Pt_Days <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
742,"(Mort >= ?) U[?,?] (direct <= ?)"
743,"(MET <= ?) U[?,?] (LOS <= ?)"
744,"(death >= ?) U[?,?] (Mort >= ?)"
745,"(death >= ?) U[?,?] (ICU_Pt_Days <= ?)"
746,"(ICU_Pt_Days <= ?) U[?,?] (n_evts <= ?)"
747,"(LOS <= ?) U[?,?] (AST_GOT >= ?)"
748,"(Temp <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
749,"(MET >= ?) U[?,?] (ALT_GPT >= ?)"
750,"(MET <= ?) U[?,?] (tte >= ?)"
751,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (MET <= ?)"
752,"(lds >= ?) U[?,?] (Resp >= ?)"
753,"(lds >= ?) U[?,?] (ICU_Pt_Days <= ?)"
754,"(SBP >= ?) U[?,?] (Temp >= ?)"
755,"(Mort >= ?) U[?,?] (CALCIUM >= ?)"
756,"(n_evts <= ?) U[?,?] (Mort >= ?)"
757,"G[?,?](ICU_Pt_Days >= ? -> Mort <= ?)"
758,"(death <= ?) U[?,?] (ICU_Pt_Days <= ?)"
759,"(Pulse >= ?) U[?,?] (ALT_GPT >= ?)"
760,"(ALBUMIN >= ?) U[?,?] (Temp >= ?)"
761,"(y >= ?) U[?,?] (direct >= ?)"
762,"(Resp <= ?) U[?,?] (direct >= ?)"
763,"(Pulse <= ?) U[?,?] (Resp >= ?)"
764,"(LOS >= ?) U[?,?] (Mort >= ?)"
765,"(O2_Flow <= ?) U[?,?] (ICU_Pt_Days >= ?)"
766,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (LOS >= ?)"
767,"G[?,?](LOS >= ? | Mort >= ?)"
768,"(SpO2 >= ?) U[?,?] (Pulse >= ?)"
769,"(SBP >= ?) U[?,?] (death >= ?)"
770,"(CHLORIDE >= ?) U[?,?] (ICU_Pt_Days >= ?)"
771,"(LOS >= ?) U[?,?] (LOS >= ?)"
772,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (SpO2 >= ?)"
773,"G[?,?](tte <= ? -> n_evts >= ?)"
774,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (CALCIUM >= ?)"
775,"(Resp >= ?) U[?,?] (MET <= ?)"
776,"(Pulse <= ?) U[?,?] (ALBUMIN >= ?)"
777,"(SBP <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
778,"(tte <= ?) U[?,?] (n_evts <= ?)"
779,"(ALT_GPT >= ?) U[?,?] (Resp >= ?)"
780,"(MET <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
781,"(Resp >= ?) U[?,?] (MET >= ?)"
782,"(MET >= ?) U[?,?] (y >= ?)"
783,"(SBP <= ?) U[?,?] (CALCIUM >= ?)"
784,"(tte >= ?) U[?,?] (Temp <= ?)"
785,"(O2_Flow <= ?) U[?,?] (ALT_GPT >= ?)"
786,"(y >= ?) U[?,?] (tte <= ?)"
787,"(Mort <= ?) U[?,?] (LOS >= ?)"
788,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (tte >= ?)"
789,"(Temp >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
790,"(Pulse <= ?) U[?,?] (CHLORIDE >= ?)"
791,"(ALBUMIN >= ?) U[?,?] (AST_GOT >= ?)"
792,"(Temp <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
793,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (SBP >= ?)"
794,"(O2_Flow >= ?) U[?,?] (death >= ?)"
795,"(tte >= ?) U[?,?] (Mort >= ?)"
796,"G[?,?](LOS >= ? -> n_evts <= ?)"
797,"G[?,?](ICU_Pt_Days <= ? -> death <= ?)"
798,"(death <= ?) U[?,?] (CHLORIDE >= ?)"
799,"(n_evts >= ?) U[?,?] (Resp <= ?)"
800,"G[?,?](Mort >= ? -> y >= ?)"
801,"G[?,?](Mort <= ? -> Mort >= ?)"
802,"(tte <= ?) U[?,?] (Pulse >= ?)"
803,"(ALT_GPT >= ?) U[?,?] (O2_Flow >= ?)"
804,"(death >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
805,"(O2_Flow >= ?) U[?,?] (ALBUMIN >= ?)"
806,"(Mort >= ?) U[?,?] (Pulse <= ?)"
807,"(MET <= ?) U[?,?] (LOS >= ?)"
808,"(tte <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
809,"(SBP <= ?) U[?,?] (SBP >= ?)"
810,"(tte <= ?) U[?,?] (direct <= ?)"
811,"(Temp <= ?) U[?,?] (y <= ?)"
812,"(O2_Flow >= ?) U[?,?] (death <= ?)"
813,"(direct >= ?) U[?,?] (direct <= ?)"
814,"(ICU_Pt_Days <= ?) U[?,?] (ALBUMIN >= ?)"
815,"G[?,?](Mort <= ? & Mort <= ?)"
816,"(Temp <= ?) U[?,?] (n_evts <= ?)"
817,"G[?,?](HEMOGLOBIN >= ? | LOS <= ?)"
818,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (tte >= ?)"
819,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (SpO2 <= ?)"
820,"(MET <= ?) U[?,?] (MET >= ?)"
821,"(tte >= ?) U[?,?] (ICU_Pt_Days <= ?)"
822,"(O2_Flow >= ?) U[?,?] (Resp >= ?)"
823,"(O2_Flow >= ?) U[?,?] (ICU_Pt_Days >= ?)"
824,"(CHLORIDE >= ?) U[?,?] (O2_Flow <= ?)"
825,"(lds >= ?) U[?,?] (Pulse <= ?)"
826,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
827,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (SBP >= ?)"
828,"F[?,?](edrk >= ? & CREATININE <= ?)"
829,"(n_evts <= ?) U[?,?] (Temp <= ?)"
830,"G[?,?](ICU_Pt_Days >= ? & LOS >= ?)"
831,"(AST_GOT >= ?) U[?,?] (tte >= ?)"
832,"G[?,?](LOS <= ? & ICU_Pt_Days >= ?)"
833,"(SBP >= ?) U[?,?] (SpO2 >= ?)"
834,"G[?,?](LOS <= ? -> y <= ?)"
835,"(ALBUMIN >= ?) U[?,?] (MET <= ?)"
836,"(MET >= ?) U[?,?] (LOS >= ?)"
837,"G[?,?](y <= ? -> LACTIC_ACID >= ?)"
